Namespace(trial_num=1, batch_size=32, lr=0.00025, gamma=0.999, eps_start=1, eps_end=0.1, eps_decay=200.0, target_update=100, img_size=64, num_episodes=20000, max_steps=1000000.0, max_mem=50000, model_name='DQN', model_weight_path=None, test_mode=0, pretrain=0, cuda=1, doubleq=1, level_switch='sequential', timeout=2000, criteria='1/1', game_name='aliens', num_trials=1, random_seed=7)
Game: aliens
device = cpu, Training at seed = 1
Training Starting
-------------------------
/content/1016-final-project-Aline-game/player.py:191: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at ../aten/src/ATen/native/IndexingUtils.h:27.)
  next_state_values[non_final_mask] = self.target_net(non_final_next_states).gather(1,
Level 0, rounds 68, episode use 23188 step earn 8 rewards in 1657.8419480323792 seconds
Level 0, rounds 69, episode use 23605 step earn 9 rewards in 1687.8322703838348 seconds
Level 0, rounds 70, episode use 24193 step earn 16 rewards in 1730.071762561798 seconds
Level 0, rounds 71, episode use 24545 step earn 9 rewards in 1755.708080291748 seconds
Level 0, rounds 72, episode use 25016 step earn 7 rewards in 1789.4347186088562 seconds
Level 0, rounds 73, episode use 25376 step earn 13 rewards in 1815.453620672226 seconds
Level 0, rounds 74, episode use 25552 step earn 3 rewards in 1828.292421579361 seconds
Level 0, rounds 75, episode use 25912 step earn 12 rewards in 1854.4211645126343 seconds
Level 0, rounds 76, episode use 26230 step earn 11 rewards in 1877.3159773349762 seconds
Level 0, rounds 77, episode use 27571 step earn 37 rewards in 1972.8328309059143 seconds
Level 0, rounds 78, episode use 27917 step earn 12 rewards in 1997.769593000412 seconds
Level 0, rounds 79, episode use 28270 step earn 20 rewards in 2023.3798608779907 seconds
Level 0, rounds 80, episode use 28543 step earn 3 rewards in 2042.8883004188538 seconds
Level 0, rounds 81, episode use 28719 step earn 6 rewards in 2055.7001469135284 seconds
Level 0, rounds 82, episode use 28914 step earn 7 rewards in 2069.870791196823 seconds
Level 0, rounds 83, episode use 29259 step earn 4 rewards in 2094.6776535511017 seconds
Level 0, rounds 84, episode use 29500 step earn 1 rewards in 2112.2481484413147 seconds
New Best Reward: 1
Level 0, rounds 85, episode use 29675 step earn 5 rewards in 2124.948706626892 seconds
Level 0, rounds 86, episode use 29849 step earn 23 rewards in 2137.562838792801 seconds
Level 0, rounds 87, episode use 29939 step earn 12 rewards in 2144.18723487854 seconds
Level 0, rounds 88, episode use 30103 step earn 22 rewards in 2156.177115917206 seconds
Level 0, rounds 89, episode use 30914 step earn 55 rewards in 2214.37549161911 seconds
Next Level!
Level 1, rounds 90, episode use 31218 step earn 40 rewards in 2236.7134132385254 seconds
Level 1, rounds 91, episode use 31390 step earn 18 rewards in 2249.2830872535706 seconds
Level 1, rounds 92, episode use 31624 step earn 30 rewards in 2266.613696575165 seconds
Level 1, rounds 93, episode use 32140 step earn 39 rewards in 2303.408231496811 seconds
Level 1, rounds 94, episode use 32519 step earn 40 rewards in 2331.001564979553 seconds
Level 1, rounds 95, episode use 32667 step earn 15 rewards in 2341.7969670295715 seconds
Level 1, rounds 96, episode use 32764 step earn 4 rewards in 2348.885824203491 seconds
Level 1, rounds 97, episode use 33273 step earn 50 rewards in 2385.92266869545 seconds
Level 1, rounds 98, episode use 33389 step earn 8 rewards in 2394.3518335819244 seconds
Level 1, rounds 99, episode use 33592 step earn 31 rewards in 2409.495668411255 seconds
Level 1, rounds 100, episode use 34098 step earn 59 rewards in 2447.470899581909 seconds
Next Level!
Level 2, rounds 101, episode use 34963 step earn 59 rewards in 2509.9662325382233 seconds
Next Level!
Level 3, rounds 102, episode use 35101 step earn 3 rewards in 2520.788025856018 seconds
Level 3, rounds 103, episode use 35296 step earn 7 rewards in 2534.9262022972107 seconds
Level 3, rounds 104, episode use 35452 step earn 7 rewards in 2546.48060464859 seconds
Level 3, rounds 105, episode use 36296 step earn 39 rewards in 2608.029349565506 seconds
Next Level!
Level 4, rounds 106, episode use 36526 step earn 24 rewards in 2624.923707962036 seconds
Level 4, rounds 107, episode use 36863 step earn 40 rewards in 2649.6829042434692 seconds
Level 4, rounds 108, episode use 36969 step earn 2 rewards in 2657.5444600582123 seconds
Level 4, rounds 109, episode use 37225 step earn 31 rewards in 2676.383100748062 seconds
Level 4, rounds 110, episode use 37341 step earn 10 rewards in 2684.924645423889 seconds
Level 4, rounds 111, episode use 37834 step earn 53 rewards in 2721.2976467609406 seconds
Learning Finished
Level 4 use 1715223675.8762877 seconds to win
Done training ALL!
